CODIGO,sector_COOPERATIVA,sector_MUNICIPAL,sector_OFICIAL,sector_PRIVADO,area_RURAL,area_URBANA,modalidad_BILINGUE,modalidad_MONOLINGUE,jornada_DOBLE,jornada_INTERMEDIA,jornada_MATUTINA,jornada_NOCTURNA,jornada_SIN JORNADA,jornada_VESPERTINA,plan_A DISTANCIA,plan_DIARIO,plan_FIN DE SEMANA,plan_SEMIPRESENCIAL
01-02-0012-46,0,0,0,1,False,True,False,True,False,False,True,False,False,False,False,True,False,False
01-02-0013-46,0,0,0,1,False,True,False,True,True,False,False,False,False,False,False,False,True,False
01-02-0022-46,0,0,1,0,False,True,False,True,False,False,False,False,False,True,False,True,False,False
01-02-0034-46,0,0,0,1,False,True,False,True,False,False,True,False,False,False,False,True,False,False
01-02-0036-46,0,0,0,1,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-02-0038-46,0,0,1,0,True,False,False,True,False,False,False,False,False,True,False,True,False,False
01-02-0039-46,0,0,1,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-02-0043-46,0,0,0,1,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-02-0048-46,0,0,0,1,True,False,False,True,False,False,False,False,False,True,False,True,False,False
01-02-0049-46,0,0,0,1,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-02-0052-46,0,0,0,1,False,True,False,True,False,False,True,False,False,False,False,True,False,False
01-02-0065-46,1,0,0,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-02-0068-46,0,0,0,1,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-02-0078-46,0,0,0,1,False,True,False,True,True,False,False,False,False,False,False,False,False,True
01-02-0083-46,0,0,0,1,False,True,False,True,False,False,True,False,False,False,False,True,False,False
01-02-0085-46,0,1,0,0,False,True,False,True,False,False,False,False,True,False,False,False,False,True
01-02-0088-46,0,1,0,0,False,True,False,True,False,False,False,False,True,False,False,False,False,True
01-02-0091-46,1,0,0,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-02-0096-46,1,0,0,0,True,False,False,True,False,False,False,False,False,True,False,True,False,False
01-02-4189-46,0,0,0,1,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-02-6764-46,0,0,0,1,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-02-6805-46,0,0,0,1,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-02-7145-46,0,0,0,1,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-02-7441-46,0,0,0,1,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-02-7829-46,0,0,0,1,False,True,False,True,False,False,True,False,False,False,False,True,False,False
01-02-9033-46,0,0,0,1,False,True,False,True,False,False,True,False,False,False,False,True,False,False
01-02-9284-46,0,0,0,1,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-02-9324-46,0,0,0,1,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-02-9835-46,1,0,0,0,False,True,False,True,False,False,True,False,False,False,False,True,False,False
01-03-0013-46,0,0,1,0,False,True,False,True,False,False,True,False,False,False,False,True,False,False
01-03-0045-46,0,0,0,1,False,True,False,True,False,False,False,False,False,True,False,True,False,False
01-03-0052-46,0,0,0,1,False,True,False,True,False,False,False,False,False,True,False,True,False,False
01-03-0053-46,0,0,0,1,False,True,False,True,False,False,True,False,False,False,False,True,False,False
01-03-0063-46,0,1,0,0,True,False,False,True,False,False,False,False,False,True,False,True,False,False
01-03-0071-46,0,0,0,1,False,True,False,True,False,False,True,False,False,False,False,True,False,False
01-03-0072-46,0,0,0,1,False,True,False,True,False,False,False,False,False,True,False,True,False,False
01-03-0097-46,0,0,0,1,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-03-0101-46,0,0,0,1,True,False,False,True,False,False,True,False,False,False,False,True,False,False
01-03-0102-46,0,0,0,1,False,True,False,True,False,False,True,False,False,False,False,True,False,False
01-03-0117-46,0,0,0,1,False,True,False,True,False,False,False,False,False,True,False,True,False,False
01-03-0118-46,0,0,0,1,False,True,False,True,False,False,True,False,False,False,False,True,False,False
01-03-0121-46,0,0,1,0,False,True,False,True,True,False,False,False,False,False,False,True,False,False
01-03-0124-46,0,0,0,1,False,True,False,True,True,False,False,False,False,False,True,False,False,False
