CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0044-46,04-028,CHIMALTENANGO,CHIMALTENANGO,"ESCUELA NORMAL RURAL NO. 1 ""PEDRO MOLINA""",FINCA LA ALAMEDA,42182840,ISMAEL CRISTAL AJCET,EDGAR LEONEL OTZOY CUTZAL,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0051-46,04-001,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO MIXTO ""SANTA ANA""",2A. CALLE 5-52 ZONA 4,78391533,ABIMAEL ACUTA ABAJ,MAURO AROLDO FIGUEROA ZAMORA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0053-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""JOS� SIME�N CA�AS Y VILLACORTA""",4A. AVENIDA 2-95 ZONA 3,78393574,ISMAEL CRISTAL AJCET,IRMA ARACELI MENDOZA ALC�,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0055-46,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANG�LICO AM�RICA LATINA,6A. AVENIDA 3-48 ZONA 5,77282600,MARILENA HERN�NDEZ CABRERA,AXEL EDUARDO ESTRADA CH�VEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0058-46,04-001,CHIMALTENANGO,CHIMALTENANGO,TECNOLOGICO PREUNIVERSITARIO,3 CALLE 7-54 ZONA 3,78394519,ABIMAEL ACUTA ABAJ,GERSON ARELY PUZ SAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0059-46,04-028,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO TECNICO INDUSTRIAL,"9A. CALLE DE LOS CLAVELES 3-76 ZONA 1, QUINTAS LOS APOSENTOS",78396913,ISMAEL CRISTAL AJCET,ASUNCI�N BOLIVIA MATZER CUXIL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0062-46,04-001,CHIMALTENANGO,CHIMALTENANGO,"ESCUELA NACIONAL DE CIENCIAS COMERCIALES ""LEONIDAS MENCOS AVILA""",1A. CALLE 9-30 ZONA 3,78396809,ABIMAEL ACUTA ABAJ,MARCO ANTONIO MONTERROSO MONZ�N,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0063-46,04-001,CHIMALTENANGO,CHIMALTENANGO,"ESCUELA DE CIENCIAS COMERCIALES POR COOPERATIVA ""PROF. MIGUEL ANGEL FRANCISCO JU�REZ P�REZ""",1A CALLE 9-30 ZONA 3,78396762,ABIMAEL ACUTA ABAJ,GILDARDO LEONEL LANCERIO CABRERA,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0069-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""JOS� SIME�N CA�AS Y VILLACORTA""",4A. AVENIDA 2-95 ZONA 3,78393574,ISMAEL CRISTAL AJCET,IRMA ARACELI MENDOZA ALC�,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0070-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""JOS� SIME�N CA�AS Y VILLACORTA""",4A. AVENIDA 2-95 ZONA 3,78933574,ISMAEL CRISTAL AJCET,IRMA ARACELI MENDOZA ALC�,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
