CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
09-01-0098-46,09-002,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO MIXTO ""SUIZO QUETZALTENANGO""",1RA CALLE 43-50 ZONA 8,79267367,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,MIRNA LETICIA CIFUENTES GODINEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0125-46,09-005,QUETZALTENANGO,QUETZALTENANGO,"INSTITUTO NACIONAL ""JACOBO ARBENZ GUZM�N""","4A. CALLE 25-20, ZONA 3",41514439,JUAN CARLOS RONQUILLO DE LEON,JUAN CARLOS HERN�NDEZ R�OS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0126-46,09-005,QUETZALTENANGO,QUETZALTENANGO,"ESCUELA NACIONAL DE CIENCIAS COMERCIALES DE OCCIDENTE SECCI�N NOCTURNA ""ALBERTO CARDENAS RODAS""",5A CALLE 12-60 ZONA 3,59861622,JUAN CARLOS RONQUILLO DE LEON,MAR�A JOSEFINA MENDOZA ESCOBAR,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0131-46,09-005,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO NORMAL PARA VARONES DE OCCIDENTE I.N.V.O,7MA. CALLE 29-25 ZONA 3,77611583,JUAN CARLOS RONQUILLO DE LEON,FRANCISCO MIGUEL TIRADO HUINAC,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0132-46,09-005,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO NORMAL PARA SE�ORITAS DE OCCIDENTE,14 AVENIDA A 0-36 ZONA 1,77612303,JUAN CARLOS RONQUILLO DE LEON,ROSELIA HAYD�E L�PEZ MONZ�N,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0134-46,09-002,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'AMERICANO',AVE. JESUS CASTILLO A-74 ZONA 1,77610735,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,LILIAM YOLANDA PEREYRA CASTILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0135-46,09-036,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO MODERNO,7A AVE. 6-45 ZONA 1,77614475,OBDULIO ROLANDO RUIZ ALVA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0137-46,09-004,QUETZALTENANGO,QUETZALTENANGO,COLEGIO EVANGELICO 'BETHANIA',CALLE C 0-22 ZONA 1,77630164,DINA RUBI GONZALEZ DE LEON,FERNANDO DAVID RIVERA ESPA�A,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0139-46,09-006,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO DE ESTUDIOS AVANZADOS DE OCCIDENTE,AV JESUS CASTILLO 1-81 ZONA 3,77611270,PEDRO GER�NIMO SARAT CHAJ,MAR�A VALENTINA ANLEU D�AZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0140-46,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PARA SE�ORITAS ENCARNACION ROSAL,12 AVE. 3-09 ZONA 1,77258985,WILSON RANFERI SIGUENZA LOPEZ,SARA JULIETA L�PEZ MARTINEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0144-46,09-036,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO ""MARIA AUXILIADORA""",3A CALLE 16-17 ZONA 3,77630281,OBDULIO ROLANDO RUIZ ALVA,YULISSA ANABELY OCHOA CIFUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0145-46,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO EVANGELICO LA PATRIA,19 AVENIDA 1-28 ZONA 3,78285600,WILSON RANFERI SIGUENZA LOPEZ,ERICK ESTUARDO COBAQUIL LARA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0147-46,09-002,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO TECNOL�GICO PRIVADO DE OCCIDENTE,"2A. CALLE 5-13 ZONA 9, COLONIA FLORESTA",77671956,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,ALVARO GUILLERMO ARELLANO RODAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0155-46,09-005,QUETZALTENANGO,QUETZALTENANGO,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION DIURNA,5A CALLE 12-60 ZONA 3,77635161,JUAN CARLOS RONQUILLO DE LEON,ALFONSO DARIO DE LE�N CAMACHO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0157-46,09-006,QUETZALTENANGO,QUETZALTENANGO,COLEGIO MIXTO PRIVADO SAN JOS�,20 AVENIDA 1-07 ZONA 1,77618584,PEDRO GER�NIMO SARAT CHAJ,JHONATAN EDUARDO SAC CAYAX,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0160-46,09-005,QUETZALTENANGO,QUETZALTENANGO,ESCUELA NORMAL DE MAESTRAS DE EDUCACION PARA EL HOGAR PROFESOR HUMBERTO MIRANDA FUENTES,2A CALLE 14-51 ZONA 3,56113812,JUAN CARLOS RONQUILLO DE LEON,ONEYDA LICELY VELASQUEZ ALVA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0195-46,09-005,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ZONA 3,47548459,JUAN CARLOS RONQUILLO DE LEON,JOS� ADOLFO MORALES BOJ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0197-46,09-005,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO NACIONAL JACOBO ARBENZ GUZM�N,25 AVENIDA 3-45 ZONA 3,37732794,JUAN CARLOS RONQUILLO DE LEON,EDGAR SAMUEL GARC�A RAM�REZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
