CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
14-01-0077-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO ADOLFO V HALL,"KILOMETRO 161 ENTRADA A SANTA CRUZ DEL QUICHE, ANTIGUA ZONA MILITAR",77551548,JOSE OSCAR TIPAZ VELASQUEZ,ARAM ALBERT JORD�N SANDOVAL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICH�
14-01-0079-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO EVANGELICO METODISTA UTATLAN,"4A CALLE Y 6A-12, ZONA 5",77551551,GONZALO VENTURA LUX,LUIS HUMBERTO ECHEVERR�A GIL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICH�
14-01-0085-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77553814,JOSE OSCAR TIPAZ VELASQUEZ,MIRIAM MARCELINA ALVAREZ GRIJALVA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICH�
14-01-0090-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO MIXTO BILINGUE INTERCULTURAL ""Q�IJ""",11A. CALLE 06-03 ZONA 1,77550476,GONZALO VENTURA LUX,FEDERICO HERN�NDEZ ZAPETA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,FIN DE SEMANA,QUICH�
14-01-0108-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO TECNICO AVANZADO,4A. AVENIDA 20-174 ZONA 4,77554695,GONZALO VENTURA LUX,JACQUELINE ARGENTINA SOLARES M�NDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICH�
14-01-0112-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"20 CALLE FINAL ZONA 4, COLONIA LOS CELAJES",77554630,JOSE OSCAR TIPAZ VELASQUEZ,JUSTO RUFINO PEREIRA GONZ�LEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICH�
14-01-0115-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77656620,JOSE OSCAR TIPAZ VELASQUEZ,JORGE HUMBERTO MOTTA CANO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICH�
14-01-0163-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO EVANGELICO METODISTA ""JOHN WESLEY""",6TA. AVENIDA 00-002 DE LA ZONA 1,77563692,GONZALO VENTURA LUX,KARIN ROSALVA SOL�RZANO PAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICH�
14-01-0166-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,LICEO MIXTO QUICHE,2A. AVENIDA 6-27 ZONA 5,77551705,GONZALO VENTURA LUX,PEM. SILVIA EMILIANA BARRIOS BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICH�
14-01-0167-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO MULTIEDUCATIVO ""LA REFORMA""",16 CALLE 7-34 ZONA 4,77563633,GONZALO VENTURA LUX,CARLOS ROBERTO ARRIAGA DEL VALLE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICH�
14-01-0181-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO PRIVADO MIXTO CIENCIA Y CULTURA,"1A. CALLE 13-41, ZONA 2",77563487,GONZALO VENTURA LUX,IBERTO DE LE�N ORELLANA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICH�
14-01-0186-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO MIXTO BILINGUE INTERCULTURAL Q IJ,11 CALLE 6-03 ZONA 1,77550476,GONZALO VENTURA LUX,FEDERICO HERN�NDEZ ZAPETA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICH�
