CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
19-01-0078-46,19-001,ZACAPA,ZACAPA,"INSTITUTO DIVERSIFICADO ADSCRITO AL INSTITUTO DE EDUCACI�N MEDIA EXPERIMENTAL CON ORIENTACI�N OCUPACIONAL ""JOS� RODR�GUEZ CERNA""","7A. AVENIDA ""A"" FINAL Y 9A. CALLE ZONA 2, BARRIO LA REFORMA",79414031,SONIA HAYDEE RUIZ WONG,MARCO ANTONIO L�PEZ RAMOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0079-46,19-001,ZACAPA,ZACAPA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES MIXTA NOCTURNA,4A. CALLE 16-10 ZONA 1. BARRIO EL CALVARIO,57129013,SONIA HAYDEE RUIZ WONG,ELMER OTTONIEL AVALOS MIGUEL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ZACAPA
19-01-0084-46,19-001,ZACAPA,ZACAPA,INSTITUTO ADOLFO V. HALL DE ORIENTE,BARRIO CRUZ DE MAYO ZONA 3,39913254,SONIA HAYDEE RUIZ WONG,RA�L ANIBAL PINEDA PE�ATE,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ZACAPA
19-01-0086-46,19-019,ZACAPA,ZACAPA,"CENTRO EDUCATIVO JUVENIL CAT�LICO ""NUESTRA SE�ORA DE F�TIMA""",12 CALLE A 14-03 ZONA 1,79410382,HUGO WILFREDO VARGAS CHACON,FIDIAS ROBERTO MONROY LEMUS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0116-46,19-001,ZACAPA,ZACAPA,"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA, INED","7A. AVENIDA ""A"" FINAL Y 9A. CALLE ZONA 2 BARRIO LA REFORMA",42053474,SONIA HAYDEE RUIZ WONG,MARCY JULISSA JIATZ ALONZO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0149-46,19-019,ZACAPA,ZACAPA,COLEGIO BILING�E MONTESSORI,4TA. CALLE 3-41 ZONA 2,79410965,HUGO WILFREDO VARGAS CHACON,MAGDA YOHANA S�NCHEZ MONTERROSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0160-46,19-019,ZACAPA,ZACAPA,"COLEGIO PARTICULAR MIXTO ""LICEO CRISTIANO ZACAPANECO""",12 AVENIDA Y 8A. CALLE ESQUINA ZONA 1,79410316,HUGO WILFREDO VARGAS CHACON,LUCY RAQUEL APARICIO ROLD�N,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0170-46,19-019,ZACAPA,ZACAPA,COLEGIO CRISTIANO VERBO ZACAPA,CALZADA RAMIRO DE LE�N CARPIO A UN COSTADO DEL IGSS,58289369,HUGO WILFREDO VARGAS CHACON,LIDIA ISABEL P�REZ VILLEDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0175-46,19-019,ZACAPA,ZACAPA,INSTITUTO T�CNICO DE EDUCACI�N INDUSTRIAL,"CIUDAD VICTORIA, BARRIO NUEVO",79415915,HUGO WILFREDO VARGAS CHACON,ALEJANDRA MAR�A PALACIOS GARC�A,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0183-46,19-019,ZACAPA,ZACAPA,LICEO CRISTO REY,8A. CALLE 9-06 ZONA 2 BARRIO LA REFORMA,54138046,HUGO WILFREDO VARGAS CHACON,EDNA EDITH RAM�REZ CORD�N,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA
19-01-0192-46,19-019,ZACAPA,ZACAPA,"COLEGIO ""HIGA""",BOSQUES DE SAN JULI�N ZACAPA,42876685,HUGO WILFREDO VARGAS CHACON,MARCY MAGALETH CARRERA PAIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0194-46,19-019,ZACAPA,ZACAPA,"COLEGIO ""HIGA""",BOSQUES DE SAN JULI�N ZACAPA,49057528,HUGO WILFREDO VARGAS CHACON,EDILIO PAZ ARCHILA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA
19-01-0202-46,19-019,ZACAPA,ZACAPA,INSTITUTO T�CNICO PRIVADO VOCACIONAL,9A. CALLE 17-27 ZONA 3 BARRIO EL TAMARINDAL ZACAPA,79416343,HUGO WILFREDO VARGAS CHACON,EDWIN ORLANDO LUCAS VANEGAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0204-46,19-019,ZACAPA,ZACAPA,COLEGIO PRIVADO BILING�E SAGRADO CORAZ�N DE JES�S,8A. CALLE ENTRE 9A. Y 10A. AVENIDA DE LA ZONA 2 BARRIO LA LAGUNA ZACAPA,31181139,HUGO WILFREDO VARGAS CHACON,MARTA LYL� RIVAS TOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
